message_id,date,symbol,pair,side,entry_values,entry_mid,stop_loss,targets,raw_text,entry_range_pct,stop_loss_pct,number_of_targets,tp1_R,tp2_R,tp3_R,tp4_R,tp5_R,tp6_R,tp7_R,tp8_R,tp9_R,tp10_R,tp11_R,tp12_R,tp13_R,tp14_R
6129,2025-06-25T22:11:14,SXP,USDT,long,"[0.1754, 0.17]",0.17270000000000002,0.166,"[0.18, 0.184, 0.188, 0.192, 0.204, 0.216, 0.228, 0.24]","Coin: #SXPUSDT

Long Set-Up

Leverage: 5-10x

#SXP already broke out of the falling wedge pattern and is looking bullish.

Entry: $0.1754 - $0.1700 (Buy partially)

Targets: $0.1800 - $0.1840 - $0.1880 - $0.1920 - $0.2040 - $0.2160 - $0.2280 - $0.2400 (Short-mid term)

Stop-loss: $0.1660",0.03126809496236241,0.03879559930515351,8,1.0895522388059642,1.686567164179098,2.283582089552232,2.8805970149253657,4.671641791044763,6.462686567164164,8.253731343283565,10.044776119402963,,,,,,
6138,2025-06-29T21:56:36,ZEREBRO,USDT,long,"[0.02939, 0.0285]",0.028945,0.0275,"[0.03, 0.0307, 0.0315, 0.0322, 0.034, 0.036, 0.038]","Coin: #ZEREBROUSDT

Long Set-Up

Leverage: 5-10x

#ZEREBRO already broke out of the falling wedge pattern and is looking bullish.

Entry: 0.02939 - 0.02850$ (Buy partially)

Targets: 0.03000 - 0.03070 - 0.03150 - 0.03220 - 0.03400 - 0.03600 - 0.03800$ (Short-mid term)

Stop-loss: 0.02750$",0.030747970288478095,0.049922266367248176,7,0.7301038062283748,1.2145328719723218,1.768166089965401,2.2525951557093458,3.4982698961937784,4.8823529411764754,6.266435986159177,,,,,,,
6140,2025-06-29T22:37:47,PNUT,USDT,long,"[0.221, 0.213]",0.217,0.205,"[0.226, 0.232, 0.238, 0.244, 0.26, 0.28, 0.3]","Coin: #PNUTUSDT

Long Set-Up

Leverage: 5-10x

#PNUT has already broken out of the falling wedge pattern and is looking bullish.

Entry: 0.221 - 0.213$ (Enter partially)

Targets: 0.226 - 0.232 - 0.238 - 0.244 - 0.260 - 0.280 - 0.300$ (Short-mid term)

Stop-loss: 0.205$",0.03686635944700464,0.055299539170506964,7,0.75,1.25,1.7499999999999978,2.249999999999998,3.583333333333331,5.249999999999997,6.91666666666666,,,,,,,
6158,2025-07-01T22:50:28,FXS,USDT,short,"[1.9592, 1.98]",1.9696,2.01,"[1.92, 1.88, 1.84, 1.8, 1.72, 1.65]","Coin: #FXSUSDT

Short Set-Up

Leverage: 5-10x

#FXS already broke down the bear flag pattern and is looking bearish.

Entry: 1.9592 - 1.9800$ (Enter partially)

Targets: 1.92 - 1.88 - 1.84 - 1.80 - 1.72 - 1.65$ (Short term)

Stop-loss: 2.01$",0.010560519902518242,0.020511779041429614,6,1.227722772277237,2.2178217821782336,3.2079207920792245,4.198019801980221,6.178217821782215,7.910891089108959,,,,,,,,
6162,2025-07-01T23:45:53,LAYER,USDT,short,"[0.6278, 0.635]",0.6314,0.645,"[0.614, 0.602, 0.59, 0.576, 0.55, 0.52]","Coin: #LAYERUSDT

Short Set-Up

Leverage: 5-10x

#LAYER has already broken down the inverse cup and handle pattern and is looking bearish.

Entry: 0.6278 - 0.6350$ (Enter partially)

Targets: 0.6140 - 0.6020 - 0.5900 - 0.5760 - 0.5500 - 0.5200$ (Short term)

Stop-loss: 0.6450$",0.011403230915426013,0.021539436173582605,6,1.279411764705875,2.1617647058823426,3.0441176470588105,4.07352941176469,5.985294117647028,8.191176470588196,,,,,,,,
6171,2025-07-06T15:25:52,FLM,USDT,short,"[0.0263, 0.028]",0.02715,0.0295,"[0.0254, 0.0248, 0.0242, 0.0236, 0.0225, 0.0215, 0.02, 0.018]","Coin: #FLMUSDT

Short Set-Up

Leverage: 5-10x

#FLM has already broken down an inverse cup and handle pattern on the daily timeframe and is looking bearish.

Entry: 0.0263 - 0.0280$ (Enter partially)

Targets: 0.0254 - 0.0248 - 0.0242 - 0.0236 - 0.0225 - 0.0215 - 0.0200 - 0.0180$ (Short-mid term)

Stop-loss: 0.0295$",0.06261510128913444,0.08655616942909752,8,0.7446808510638311,1.0000000000000016,1.255319148936172,1.5106382978723423,1.9787234042553214,2.4042553191489393,3.0425531914893647,3.8936170212766,,,,,,
6173,2025-07-06T15:43:23,NEIROETH,USDT,long,"[0.0876, 0.082]",0.0848,0.078,"[0.09, 0.092, 0.094, 0.096, 0.102, 0.108, 0.114, 0.12]","Coin: #NEIROETHUSDT

Long Set-Up

Leverage: 5-10x

#NEIROETH already broke out of the symmetrical triangle and is looking bearish.

Entry: 0.08760 - 0.08200$ (Buy partially)

Targets: 0.09000 - 0.09200 - 0.09400 - 0.09600 - 0.102 - 0.108 - 0.114 - 0.120$ (Short-mid term)

Stop-loss: 0.0780$",0.06603773584905653,0.08018867924528303,8,0.7647058823529406,1.0588235294117643,1.352941176470588,1.647058823529412,2.5294117647058814,3.4117647058823524,4.294117647058823,5.176470588235293,,,,,,
6178,2025-07-08T23:32:13,XAI,USDT,long,"[0.05027, 0.049]",0.049635,0.0485,"[0.051, 0.052, 0.053, 0.054, 0.057]","Coin: #XAIUSDT

Long Set-Up 

Leverage: 5-10x

#XAI already breaked out the traingle and looking Bullish.

Entry: 0.05027 - 0.04900$(Buy partially)

Targets: 0.05100 - 0.05200 - 0.05300 - 0.05400 - 0.05700$(short term)

Stop-loss: 0.04850$",0.025586783519693772,0.022866928578623897,5,1.2026431718061688,2.083700440528639,2.9647577092511086,3.845814977973579,6.488986784140988,,,,,,,,,
6181,2025-07-09T12:36:36,ETC,USDT,long,"[17.12, 16.8]",16.96,16.3,"[17.6, 18.0, 18.4, 18.8, 20.0]","Coin: #ETCUSDT

Long Set-Up

Leverage: 5-10x

#ETC has already broken out of the downtrend channel and is looking bullish.

Entry: 17.120 - 16.800$ (Buy partially)

Targets: 17.600 - 18.000 - 18.400 - 18.800 - 20.000$ (Short term)

Stop-loss: 16.300$",0.018867924528301903,0.03891509433962265,5,0.9696969696969704,1.5757575757575741,2.181818181818178,2.787878787878787,4.606060606060604,,,,,,,,,
6183,2025-07-09T13:12:09,STG,USDT,long,"[0.1553, 0.153]",0.15415,0.152,"[0.1585, 0.162, 0.1655, 0.17, 0.177, 0.185]","Coin: #STGUSDT

Long Set-Up

Leverage: 5-10x

#STG has already broken out of the symmetrical triangle and is looking bullish.

Entry: 0.1553 - 0.1530$ (Buy partially)

Targets: 0.1585 - 0.1620 - 0.1655 - 0.1700 - 0.1770 - 0.1850$ (Short term)

Stop-loss: 0.1520$",0.014920531949399912,0.01394745377878698,6,2.023255813953473,3.6511627906976503,5.279069767441828,7.372093023255771,10.627906976744113,14.348837209302234,,,,,,,,
6189,2025-07-10T22:33:50,GLM,USDT,long,"[0.24378, 0.235]",0.23939,0.225,"[0.25, 0.2549, 0.26, 0.265, 0.28, 0.3, 0.32]","Coin: #GLMUSDT

Long Set-Up

Leverage: 5-10x

#GLM already broke out of the falling wedge pattern and is looking bullish.

Entry: 0.24378 - 0.235$ (Buy partially)

Targets: 0.250 - 0.2549 - 0.260 - 0.265 - 0.280 - 0.300 - 0.320$ (Short-mid term)

Stoploss: 0.225$",0.036676552905301016,0.06011111575253764,7,0.7373175816539276,1.0778318276580985,1.4322446143154994,1.7797081306462854,2.822098679638643,4.211952744961783,5.601806810284926,,,,,,,
